SENTENCES,EMOTION,SCORING
guess could described just not really feeling like im part popular bands upandcomers growing local band,sadness,1.5
top game fingers feel strong loose,joy,5.0
realized would sad leave plane so soon just feeling unloved rejected there no need transfer feelings sadness children left behind know love appreciate father,sadness,1.5
can choose tell whole world im feeling now just fake some happy stories,sadness,1.5
never dreamed would so busy so soon new year loving feeling so very gracious fortunate,joy,5.0
still feeling tad strange pearly whites,surprise,3.5
feel so pathetic useless unable anything,sadness,1.5
ive hour weeks ill get paid extra time starting feel bit abused putting lot pressure look both kids all cooking cleaning,sadness,1.5
feel inside cause life like game sometimes then came around walls just disappeared nothing surround keep fears im unprotected see how ive opened youve made trust,fear,2.0
feeling distracted yesterday,sadness,1.5
feel so needy lately,sadness,1.5
feel reassured behavior matter will definitely continue business,joy,5.0
feeling bit jaded day told why hell not,sadness,1.5
feel bouncy could easily run there few hours,joy,5.0
dont really care dont feel proud all,sadness,1.5
ive started feeling like almost nothing worth getting agitated,sadness,1.5
im polyamorous something im starting feel truly accepted,love,4.5
feel like room messy theyre open,sadness,1.5
feel rebellious wish could things legally cant smoke drink drive,anger,1.0
dont know feel not sure should feel sad cause ending should feel glad can move,sadness,1.5
feel so discontent so guilty so pathetic so lonely hate,sadness,1.5
not see nice words keep heart feeling wonderful,joy,5.0
didnt feel intimidated overwhelmed information though,joy,5.0
didnt mean get angry bommie just cant control feelings just hated why like dara cant get b,sadness,1.5
got house feeling fairly calm photographer weaving way bridesmaids touchups dad telling story mom running house manage go list bridesmaids start clamoring dress,joy,5.0
feel could gentle light future,love,4.5
feel really selfish feel guilty when think hurting,sadness,1.5
feel so emotional today,sadness,1.5
feel foolish when look facebook page see how many friends all love so much why would someone like want,sadness,1.5
im feeling good days only complaints getting harder harder move around chase stone getting harder harder find clothes fit,joy,5.0
ive feeling groggy whole day,sadness,1.5
feel gorgeous yes,joy,5.0
feeling little apprehensive whole thing,fear,2.0
feel bassanio sincere wooing portia,joy,5.0
just feel so hopeless sometimes,sadness,1.5
cooking dinner feeling pretty melancholy when zane lowe gave first spin radio one show tuesday song matched mood perfectly,sadness,1.5
gaining weight getting lot stronger feeling amazing,joy,5.0
feeling amazing seeing difference,surprise,3.5
im feeling playful http,joy,5.0
check when youre sleeping feel nose toes sure arent too hot cold,joy,5.0
can send children private school dont apologize explain feel embarrassed choice,joy,5.0
remember wanting fit so bad feeling like no one liked,sadness,1.5
also feel helped newbie bloggers connect feel welcomed immediately,joy,5.0
feel divine more ways than one,joy,5.0
feeling disheartened when going dates didnt feel meeting anyone clicked would consider longterm relationship,sadness,1.5
now still feel aching loneliness quiet hospital room,sadness,1.5
feeling especially brave asked take engagement photos hawaii,joy,5.0
ill see how turns ill talk more right now im feeling proud scared little sick think thats adrenaline though,joy,5.0
im feeling so damn gloomy too,sadness,1.5
can feel warmth gentle sun,love,4.5
guess long table policy discussions not working fighting change within american theater feel im very devoted can get behind though seems slanted,love,4.5
feeling more optimistic blue skies no wind temperatures hovering degrees,joy,5.0
also feel need mention animators pixar sure outdid themselves time,joy,5.0
feeling playful day replied lighthearted bit banter unwittingly replacing question mark solid check mark voice just right funny yet informational dummies series,joy,5.0
feeling rather cranky cos thinking lack sleep bah,anger,1.0
feel scared anxious,fear,2.0
feel really valuable contemplate phrase thy will done all lives,joy,5.0
spent last night couch feeling like suffering hypothermia house remained balmy,sadness,1.5
dont want always judgmental particular men scenarios often see area so much trafficking forced sex work basically amounts slavery hard not feel slightly embittered disillusioned,sadness,1.5
no strong feelings book neither hated nor loved,sadness,1.5
blunder life ignoring pain when all possible feeling only dull ache like hearing only slightest echo scream far away,sadness,1.5
im feeling cooped impatient annoyingly bored,anger,1.0
im able refine poses concepts without feeling rushed,joy,5.0
im thinking well could bit smaller health reasons should see doctor more regularly im feeling crappy,sadness,1.5
came airport makes feel irritable uncomfortable even sadder,anger,1.0
wasnt feeling sociable really wasnt,sadness,1.5
im feeling scared then ragefilled im mad,fear,2.0
found fighting back wakes sleep time time again feeling hurt sting own abandonment first love,sadness,1.5
feel defeated take advil again suppose get inflammation inside well outside necessary,sadness,1.5
kinda feeling ignored,sadness,1.5
really feel like gentle reminders god hasnt always promised easy road promised us travel rough ones,love,4.5
dont blame all im not angry fact feel fairly sympathetic,love,4.5
feel tortured considering one other day one closest friends raping killing chicks,anger,1.0
told fiance how feeling so angry upset,anger,1.0
can feel suffering,sadness,1.5
just keep feeling like someone unkind wrong then all can think get back people close,anger,1.0
im feeling little cranky negative doctors appointment,anger,1.0
feel useful people gives great feeling achievement,joy,5.0
im feeling more comfortable derby feel though can start step shell,joy,5.0
feel all weird when meet people text like dont talk facetoface,fear,2.0
